"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 30 13:00:27 IST 2021","Thu Sep 30 13:00:27 IST 2021","164","tests","test_checkbox_field","","","","test_multi_checkbox_button_text_1",""
"passed","Thu Sep 30 13:00:44 IST 2021","Thu Sep 30 13:00:50 IST 2021","6697","tests","test_input_field","","","","test_single_textfield_big_string",""
"passed","Thu Sep 30 13:00:51 IST 2021","Thu Sep 30 13:00:52 IST 2021","313","tests","test_input_field","","","","test_multiple_input_fields_sum_positive_negative_numbers_2",""
"passed","Thu Sep 30 13:00:52 IST 2021","Thu Sep 30 13:00:53 IST 2021","342","tests","test_input_field","","","","test_multiple_input_fields_sum_positive_big_numbers",""
"passed","Thu Sep 30 13:00:27 IST 2021","Thu Sep 30 13:00:27 IST 2021","109","tests","test_checkbox_field","","","","test_multi_checkbox_button_text_2",""
"passed","Thu Sep 30 13:00:27 IST 2021","Thu Sep 30 13:00:28 IST 2021","193","tests","test_checkbox_field","","","","test_multi_checkbox_partial_selected",""
"passed","Thu Sep 30 13:00:27 IST 2021","Thu Sep 30 13:00:27 IST 2021","133","tests","test_checkbox_field","","","","test_single_checkbox_message_negative",""
"passed","Thu Sep 30 13:00:27 IST 2021","Thu Sep 30 13:00:27 IST 2021","217","tests","test_checkbox_field","","","","test_single_checkbox_click",""
"passed","Thu Sep 30 13:01:08 IST 2021","Thu Sep 30 13:01:08 IST 2021","321","tests","test_radio_field","","","","test_radio_single_group_option_male_selection",""
"passed","Thu Sep 30 13:01:08 IST 2021","Thu Sep 30 13:01:09 IST 2021","37","tests","test_radio_field","","","","test_radio_single_group_options",""
"failed","Thu Sep 30 13:00:53 IST 2021","Thu Sep 30 13:00:53 IST 2021","376","tests","test_input_field","","","","test_multiple_input_fields_sum_positive_bigger_numbers",""
"failed","Thu Sep 30 13:00:53 IST 2021","Thu Sep 30 13:00:53 IST 2021","336","tests","test_input_field","","","","test_multiple_input_fields_sum_fractions",""
"passed","Thu Sep 30 13:01:08 IST 2021","Thu Sep 30 13:01:08 IST 2021","269","tests","test_radio_field","","","","test_radio_single_group_option_female_selection",""
"passed","Thu Sep 30 13:00:43 IST 2021","Thu Sep 30 13:00:44 IST 2021","352","tests","test_input_field","","","","test_single_textfield",""
"passed","Thu Sep 30 13:00:51 IST 2021","Thu Sep 30 13:00:51 IST 2021","382","tests","test_input_field","","","","test_multiple_input_fields_sum_positive_numbers",""
"failed","Thu Sep 30 13:00:50 IST 2021","Thu Sep 30 13:00:51 IST 2021","129","tests","test_input_field","","","","test_single_textfield_special_chars",""
"failed","Thu Sep 30 13:00:53 IST 2021","Thu Sep 30 13:00:54 IST 2021","298","tests","test_input_field","","","","test_multiple_input_fields_sum_strings",""
"passed","Thu Sep 30 13:01:08 IST 2021","Thu Sep 30 13:01:08 IST 2021","286","tests","test_radio_field","","","","test_radio_single_group_no_opt_selected",""
"passed","Thu Sep 30 13:00:50 IST 2021","Thu Sep 30 13:00:50 IST 2021","98","tests","test_input_field","","","","test_single_textfield_empty",""
"passed","Thu Sep 30 13:00:52 IST 2021","Thu Sep 30 13:00:52 IST 2021","349","tests","test_input_field","","","","test_multiple_input_fields_sum_negative_numbers",""
"passed","Thu Sep 30 13:00:51 IST 2021","Thu Sep 30 13:00:51 IST 2021","293","tests","test_input_field","","","","test_multiple_input_fields_sum_positive_negative_numbers_1",""
"passed","Thu Sep 30 13:00:27 IST 2021","Thu Sep 30 13:00:27 IST 2021","47","tests","test_checkbox_field","","","","test_single_checkbox_message",""
